dataset,model,classifier,accuracy,macro_f1,ps_precision,ps_recall,ps_f1,nps_precision,nps_recall,nps_f1,TN,FP,FN,TP,auc
RW_ACTUALS_Germany,bert-base-multilingual-uncased,random_forest,0.9242556917688266,0.8374674786464535,0.6452554744525547,0.8110091743119267,0.7186991869918701,0.9734741179500386,0.9395973154362416,0.9562357703010371,3780,243,103,442,0.92946634831371
RW_ACTUALS_Germany,bert-base-multilingual-uncased,xgboost,0.9555604203152365,0.8914100738649544,0.833984375,0.7834862385321101,0.8079470198675497,0.9709072978303748,0.978871488938603,0.9748731278623592,3938,85,118,427,0.9519152487873627
RW_ACTUALS_Germany,bert-base-multilingual-uncased,lightgbm,0.9507443082311734,0.8830849599687134,0.791970802919708,0.7963302752293578,0.7941445562671546,0.9723880597014926,0.9716629381058911,0.9720253636702723,3909,114,111,434,0.9473328818012028
RW_ACTUALS_Sweden,xlm-roberta-base,svm_linear,0.933025964571706,0.493301614455255,0.375,0.010948905109489052,0.021276595744680854,0.9341113542426452,0.9987002859370938,0.9653266331658291,3842,5,271,3,0.8441936934458361
RW_ACTUALS_Sweden,xlm-roberta-base,svm_rbf,0.9536520262072312,0.816729172531321,0.6456140350877193,0.6715328467153284,0.6583184257602862,0.9765380604796663,0.9737457759292956,0.9751399193023559,3746,101,90,184,0.9338113498242065
RW_ACTUALS_Sweden,xlm-roberta-base,random_forest,0.9519534093666586,0.8031346628218045,0.6439393939393939,0.6204379562043796,0.6319702602230483,0.9730360383717915,0.9755653756173642,0.9742990654205607,3753,94,104,170,0.919602723897093
RW_ACTUALS_Sweden,xlm-roberta-base,xgboost,0.9616597913127881,0.8317959183673469,0.7566371681415929,0.6240875912408759,0.6839999999999999,0.9735558408215661,0.9857031453080323,0.9795918367346939,3792,55,103,171,0.920161506074503
RW_ACTUALS_Sweden,xlm-roberta-base,lightgbm,0.959475855374909,0.8257942393206399,0.7257383966244726,0.6277372262773723,0.6731898238747555,0.9737384140061792,0.9831037171822199,0.9783986547665243,3782,65,102,172,0.9278212807780828
RW_ACTUALS_UK,bert-base-multilingual-uncased,svm_linear,0.8116560056858564,0.7632896613852749,0.7597597597597597,0.5776255707762558,0.6562905317769131,0.8277467411545624,0.9174406604747162,0.8702887909936368,889,80,185,253,0.8631173690336505
RW_ACTUALS_UK,bert-base-multilingual-uncased,svm_rbf,0.8720682302771855,0.8554551058146702,0.7621951219512195,0.8561643835616438,0.8064516129032258,0.9311475409836065,0.8792569659442725,0.9044585987261147,852,117,63,375,0.9341763622055406
