dataset,embedding_model,classifier,accuracy,macro_f1,precision_ps,recall_ps,f1_ps,precision_nps,recall_nps,f1_nps,TP,TN,FP,FN,threshold
germany,bert-base-multilingual-uncased,Random_Forest_Optimized,0.5017513134851138,0.46100261453522323,0.18720636067943622,0.9504587155963303,0.3128019323671498,0.9850083287062743,0.44096445438727316,0.6092032967032966,518,1774,2249,27,0.30000000000000004
germany,bert-base-multilingual-uncased,Random_Forest,0.6983362521891419,0.6091581136878705,0.2737642585551331,0.9247706422018349,0.42246437552388927,0.984965163182985,0.6676609495401442,0.7958518518518519,504,2686,1337,41,0.5
germany,bert-base-multilingual-uncased,Voting_Ensemble,0.8971103327495622,0.8033722786198032,0.5431530494821634,0.8660550458715597,0.6676096181046676,0.980264936469316,0.9013174248073577,0.939134939134939,472,3626,397,73,0.5
sweden,bert-base-multilingual-uncased,SVM,0.8279543800048532,0.625495258045608,0.23378212974296206,0.6970802919708029,0.35013748854262144,0.9748789346246973,0.8372757993241486,0.9008530275485946,191,3221,626,83,0.5
sweden,bert-base-multilingual-uncased,XGBoost_Optimized,0.9356952196068915,0.7838575761624138,0.5114503816793893,0.7335766423357665,0.6026986506746627,0.9804184549356223,0.9500909799844034,0.965016501650165,201,3655,192,73,0.5
sweden,bert-base-multilingual-uncased,XGBoost,0.9356952196068915,0.7838575761624138,0.5114503816793893,0.7335766423357665,0.6026986506746627,0.9804184549356223,0.9500909799844034,0.965016501650165,201,3655,192,73,0.5
sweden,bert-base-multilingual-uncased,LightGBM_Optimized,0.9344819218636253,0.7824528762276581,0.5049751243781094,0.7408759124087592,0.6005917159763313,0.9809088464641033,0.9482713802963348,0.964314036478985,203,3648,199,71,0.5
sweden,bert-base-multilingual-uncased,LightGBM,0.9344819218636253,0.7824528762276581,0.5049751243781094,0.7408759124087592,0.6005917159763313,0.9809088464641033,0.9482713802963348,0.964314036478985,203,3648,199,71,0.5
sweden,bert-base-multilingual-uncased,Random_Forest_Optimized,0.46517835476826014,0.3975194156338637,0.10867802108678021,0.9781021897810219,0.19562043795620437,0.9963746223564954,0.4286456979464518,0.5994183933115231,268,1649,2198,6,0.3500000000000001
sweden,bert-base-multilingual-uncased,Random_Forest,0.6702256733802475,0.5273047467965801,0.1568627450980392,0.9051094890510949,0.2673854447439353,0.989763779527559,0.6534962308292176,0.787224048849225,248,2514,1333,26,0.5
sweden,bert-base-multilingual-uncased,Voting_Ensemble,0.9245328803688425,0.7677213738832419,0.4598698481561822,0.7737226277372263,0.5768707482993197,0.9830601092896175,0.9352742396672732,0.9585719994671641,212,3598,249,62,0.5
english,bert-base-multilingual-uncased,SVM,0.7939521800281294,0.7697532498177737,0.6498054474708171,0.7472035794183445,0.6951092611862643,0.8755506607929515,0.8153846153846154,0.8443972384492832,334,795,180,113,0.5
english,bert-base-multilingual-uncased,XGBoost_Optimized,0.8558368495077355,0.8403415423628093,0.7274436090225563,0.8657718120805369,0.7906026557711952,0.9325842696629213,0.8512820512820513,0.8900804289544235,387,830,145,60,0.5
english,bert-base-multilingual-uncased,XGBoost,0.8558368495077355,0.8403415423628093,0.7274436090225563,0.8657718120805369,0.7906026557711952,0.9325842696629213,0.8512820512820513,0.8900804289544235,387,830,145,60,0.5
english,bert-base-multilingual-uncased,LightGBM_Optimized,0.8586497890295358,0.8433044106577693,0.7320754716981132,0.8680089485458613,0.7942681678607983,0.9338565022421524,0.8543589743589743,0.8923406534547402,388,833,142,59,0.5
