dataset,model,classifier,accuracy,f1_ps,f1_nps,macro_f1,precision_ps,recall_ps,precision_nps,recall_nps,TN,FP,FN,TP,fpr,fnr,roc_auc,training_time
germany,efederici/e5-base-multilingual-4096,LightGBM,0.9520577933450087,0.798528058877645,0.9727916511367871,0.8856598550072161,0.8007380073800738,0.7963302752293578,0.9724292101341282,0.9731543624161074,3915,108,111,434,0.026845637583892617,0.2036697247706422,0.9499846068591836,5.945494651794434
uk,snowflake-arctic-embed-l-v2.0,SVM,0.814498933901919,0.726128016789087,0.8597528210639441,0.7929404189265156,0.6718446601941748,0.7899543378995434,0.8968609865470852,0.8255933952528379,800,169,92,346,0.17440660474716202,0.2100456621004566,0.873894378707984,6.450886964797974
uk,snowflake-arctic-embed-l-v2.0,Random_Forest,0.8997867803837953,0.8299155609167672,0.9289672544080604,0.8794414076624137,0.8797953964194374,0.7853881278538812,0.90748031496063,0.9514963880288958,922,47,94,344,0.048503611971104234,0.2146118721461187,0.9425230077611434,4.049341917037964
uk,snowflake-arctic-embed-l-v2.0,XGBoost,0.9040511727078892,0.8424737456242708,0.9310168625447114,0.886745304084491,0.8615751789976134,0.8242009132420092,0.9220647773279352,0.9401444788441693,911,58,77,361,0.05985552115583075,0.17579908675799086,0.942219064987206,8.853152990341187
uk,snowflake-arctic-embed-l-v2.0,LightGBM,0.8990760483297797,0.8341121495327104,0.9274770173646579,0.8807945834486841,0.854066985645933,0.815068493150685,0.9180990899898888,0.9370485036119711,908,61,81,357,0.0629514963880289,0.18493150684931506,0.9430036614501605,4.126178026199341
sweden,snowflake-arctic-embed-l-v2.0,SVM,0.850036398932298,0.3881188118811882,0.9145464601769911,0.6513326360290896,0.266304347826087,0.7153284671532847,0.9769571639586411,0.8596308812061346,3307,540,78,196,0.14036911879386535,0.2846715328467153,0.8655479006297446,19.624855756759644
sweden,snowflake-arctic-embed-l-v2.0,Random_Forest,0.9548653239504975,0.6702127659574468,0.9757749413909873,0.8229938536742171,0.6517241379310345,0.6897810218978102,0.9778125815713913,0.9737457759292956,3746,101,85,189,0.026254224070704445,0.3102189781021898,0.9496090422150922,23.38779091835022
sweden,snowflake-arctic-embed-l-v2.0,XGBoost,0.9587478767289492,0.6886446886446886,0.9779106029106029,0.8332776457776458,0.6911764705882353,0.6861313868613139,0.9776565341647181,0.9781648037431765,3763,84,86,188,0.021835196256823498,0.31386861313868614,0.9355465155330062,15.848538160324097
sweden,snowflake-arctic-embed-l-v2.0,LightGBM,0.9604464935695219,0.7009174311926606,0.9788229180200078,0.8398701746063342,0.7047970479704797,0.6970802919708029,0.9784415584415584,0.9792045749935014,3767,80,83,191,0.020795425006498572,0.3029197080291971,0.9402881001216228,7.611952304840088
germany,snowflake-arctic-embed-l-v2.0,SVM,0.8410683012259195,0.5179282868525897,0.9048492791612058,0.7113887830068978,0.40582726326742974,0.7155963302752294,0.9570280011089548,0.8580661198110863,3452,571,155,390,0.14193388018891376,0.28440366972477066,0.874034622024278,12.907010078430176
germany,snowflake-arctic-embed-l-v2.0,Random_Forest,0.9590630472854641,0.8128128128128128,0.9770185572078162,0.8949156850103145,0.8942731277533039,0.744954128440367,0.9662129314535731,0.9880686055182699,3975,48,139,406,0.011931394481730051,0.25504587155963304,0.9635916872478661,21.08144783973694
germany,snowflake-arctic-embed-l-v2.0,XGBoost,0.9592819614711033,0.8235294117647058,0.9769858945805494,0.9002576531726276,0.8526522593320236,0.7963302752293578,0.9726533628972653,0.9813571961222968,3948,75,111,434,0.018642803877703208,0.2036697247706422,0.9559945451269877,14.52231502532959
germany,snowflake-arctic-embed-l-v2.0,LightGBM,0.9581873905429071,0.8203198494825965,0.9763408893843677,0.8983303694334821,0.8416988416988417,0.8,0.9730864197530864,0.9796172010937112,3941,82,109,436,0.02038279890628884,0.2,0.9517027094208301,7.397212028503418
english,snowflake-arctic-embed-l-v2.0,SVM,0.8312236286919831,0.7452229299363057,0.8738170347003155,0.8095199823183106,0.7090909090909091,0.785234899328859,0.8964401294498382,0.8523076923076923,831,144,96,351,0.1476923076923077,0.21476510067114093,0.884527046406241,7.349591970443726
english,snowflake-arctic-embed-l-v2.0,Random_Forest,0.9008438818565401,0.8286755771567437,0.9302325581395349,0.8794540676481393,0.9069148936170213,0.7628635346756152,0.8986615678776291,0.9641025641025641,940,35,106,341,0.035897435897435895,0.2371364653243848,0.9500671140939598,4.1896069049835205
english,snowflake-arctic-embed-l-v2.0,XGBoost,0.9085794655414908,0.8495370370370371,0.9343434343434343,0.8919402356902357,0.8800959232613909,0.8210290827740492,0.9203980099502488,0.9487179487179487,925,50,80,367,0.05128205128205128,0.1789709172259508,0.954635461481099,9.043218851089478
english,snowflake-arctic-embed-l-v2.0,LightGBM,0.9078762306610408,0.8485549132947976,0.9338049519959576,0.8911799326453775,0.8779904306220095,0.8210290827740492,0.9203187250996016,0.9476923076923077,924,51,80,367,0.052307692307692305,0.1789709172259508,0.9493259909367292,4.130454063415527
netherlands,snowflake-arctic-embed-l-v2.0,SVM,0.8683385579937304,0.7889447236180904,0.9043280182232346,0.8466363709206626,0.7733990147783252,0.8051282051282052,0.9126436781609195,0.8961625282167043,397,46,38,157,0.1038374717832957,0.19487179487179487,0.8774324246107542,15.095252990722656
netherlands,snowflake-arctic-embed-l-v2.0,Random_Forest,0.8620689655172413,0.751412429378531,0.9045553145336226,0.8279838719560768,0.8364779874213837,0.6820512820512821,0.8705636743215032,0.9413092550790068,417,26,62,133,0.05869074492099323,0.31794871794871793,0.9238872489436825,2.615100860595703
netherlands,snowflake-arctic-embed-l-v2.0,XGBoost,0.8605015673981191,0.7735368956743003,0.89920724801812,0.8363720718462102,0.7676767676767676,0.7794871794871795,0.9022727272727272,0.8961625282167043,397,46,43,152,0.1038374717832957,0.2205128205128205,0.926792845980205,8.288594007492065
netherlands,snowflake-arctic-embed-l-v2.0,LightGBM,0.8620689655172413,0.7696335078534031,0.901565995525727,0.835599751689565,0.786096256684492,0.7538461538461538,0.893569844789357,0.909706546275395,403,40,48,147,0.09029345372460497,0.24615384615384617,0.9276842044336402,4.074486970901489
sweden,bert-base-multilingual-uncased,SVM,0.8269837418102403,0.3535811423390752,0.9001260680767615,0.6268536052079183,0.23522316043425814,0.7116788321167883,0.9760024301336574,0.8351962568234989,3213,634,79,195,0.16480374317650118,0.28832116788321166,0.8489618415335488,9.741170883178711
sweden,bert-base-multilingual-uncased,Random_Forest,0.9563212812424169,0.6525096525096524,0.9766960124287934,0.8146028324692229,0.6926229508196722,0.6167883211678832,0.9729172040237297,0.9805042890564076,3772,75,105,169,0.01949571094359241,0.38321167883211676,0.9405276459616841,17.054362773895264
sweden,bert-base-multilingual-uncased,XGBoost,0.9602038340208687,0.6821705426356589,0.9787729743722496,0.8304717585039543,0.7272727272727273,0.6423357664233577,0.9747357566383088,0.9828437743696387,3781,66,98,176,0.01715622563036132,0.35766423357664234,0.9256549325571732,9.757980823516846
